date,value,month
2014-09-03,1000000.0,2014-09
2014-09-04,1000000.0,2014-09
2014-09-05,1000000.0,2014-09
2014-09-09,1000000.0,2014-09
2014-09-10,1000000.0,2014-09
2014-09-11,1000000.0,2014-09
2014-09-12,1000000.0,2014-09
2014-09-15,1000000.0,2014-09
2014-09-16,1000000.0,2014-09
2014-09-17,1000000.0,2014-09
2014-09-18,1000000.0,2014-09
2014-09-19,1000000.0,2014-09
2014-09-22,1000000.0,2014-09
2014-09-23,1000000.0,2014-09
2014-09-24,1000000.0,2014-09
2014-09-25,1000000.0,2014-09
2014-09-26,1000000.0,2014-09
2014-09-29,1000000.0,2014-09
2014-09-30,1000000.0,2014-09
2014-10-08,1000000.0,2014-10
2014-10-09,1000000.0,2014-10
2014-10-10,1000000.0,2014-10
2014-10-13,1000000.0,2014-10
2014-10-14,1000000.0,2014-10
2014-10-15,1000000.0,2014-10
2014-10-16,1000000.0,2014-10
2014-10-17,1000000.0,2014-10
2014-10-20,1000000.0,2014-10
2014-10-21,1000000.0,2014-10
2014-10-22,1000000.0,2014-10
2014-10-23,1000000.0,2014-10
2014-10-24,1000000.0,2014-10
2014-10-27,1000000.0,2014-10
2014-10-28,1000000.0,2014-10
2014-10-29,1000000.0,2014-10
2014-10-30,1000000.0,2014-10
2014-10-31,1000000.0,2014-10
2014-11-03,1000000.0,2014-11
2014-11-04,1000000.0,2014-11
2014-11-05,1000000.0,2014-11
2014-11-06,1000000.0,2014-11
2014-11-07,1000000.0,2014-11
2014-11-10,1000000.0,2014-11
2014-11-11,1000000.0,2014-11
2014-11-12,1000000.0,2014-11
2014-11-13,1000000.0,2014-11
2014-11-14,1000000.0,2014-11
2014-11-17,1000000.0,2014-11
2014-11-18,1000000.0,2014-11
2014-11-19,1000000.0,2014-11
2014-11-20,1000000.0,2014-11
2014-11-21,1000000.0,2014-11
2014-11-24,1000000.0,2014-11
2014-11-25,1000000.0,2014-11
2014-11-26,1000000.0,2014-11
2014-11-27,1000000.0,2014-11
2014-11-28,1000000.0,2014-11
2014-12-01,1000000.0,2014-12
2014-12-02,1000000.0,2014-12
2014-12-03,1000000.0,2014-12
2014-12-04,1000000.0,2014-12
2014-12-05,1000000.0,2014-12
2014-12-08,1000000.0,2014-12
2014-12-09,1000000.0,2014-12
2014-12-10,1000000.0,2014-12
2014-12-11,1000000.0,2014-12
2014-12-12,1000000.0,2014-12
2014-12-15,1000000.0,2014-12
2014-12-16,1000000.0,2014-12
2014-12-17,1000000.0,2014-12
2014-12-18,1000000.0,2014-12
2014-12-19,1000000.0,2014-12
2014-12-22,1000000.0,2014-12
2014-12-23,1000000.0,2014-12
2014-12-24,1000000.0,2014-12
2014-12-25,1000000.0,2014-12
2014-12-26,1000000.0,2014-12
2014-12-29,1000000.0,2014-12
2014-12-30,1000000.0,2014-12
2014-12-31,1000000.0,2014-12
2015-01-05,1000000.0,2015-01
2015-01-06,998921.8563424001,2015-01
2015-01-07,998967.8563424002,2015-01
2015-01-08,999179.4563424,2015-01
2015-01-09,999161.0563424001,2015-01
2015-01-12,999161.0563424001,2015-01
2015-01-13,999345.0563424003,2015-01
2015-01-14,999593.4563424002,2015-01
2015-01-15,999805.0563424,2015-01
2015-01-16,1000173.0563424001,2015-01
2015-01-19,1000605.4563424003,2015-01
2015-01-20,1001709.4563424002,2015-01
2015-01-21,1001350.6563424001,2015-01
2015-01-22,1000881.4563424002,2015-01
2015-01-23,1000909.0563424001,2015-01
2015-01-26,1000973.4563424002,2015-01
2015-01-27,1001093.0563424,2015-01
2015-01-28,1001203.4563424,2015-01
2015-01-29,1001341.4563424,2015-01
2015-01-30,1001056.2563424002,2015-01
2015-02-02,1001258.6563424001,2015-02
2015-02-03,1001099.9555959201,2015-02
2015-02-04,1002171.6774326202,2015-02
2015-02-05,1005496.8774326202,2015-02
2015-02-06,991335.6774326202,2015-02
2015-02-09,986564.6774326202,2015-02
2015-02-10,998310.4774326202,2015-02
2015-02-11,1004286.8774326202,2015-02
2015-02-12,1009093.4774326201,2015-02
2015-02-13,1021875.4774326202,2015-02
2015-02-16,1042750.2774326202,2015-02
2015-02-17,1039380.2774326203,2015-02
2015-02-25,1034355.0774326201,2015-02
2015-02-26,1037648.0774326201,2015-02
2015-02-27,1052160.07743262,2015-02
2015-03-02,1067350.6774326202,2015-03
2015-03-03,1058706.0976236602,2015-03
2015-03-04,1074628.64142366,2015-03
2015-03-05,1074123.84142366,2015-03
2015-03-06,1057991.8414236603,2015-03
2015-03-09,1071109.84142366,2015-03
2015-03-10,1083785.4414236601,2015-03
2015-03-11,1080415.84142366,2015-03
2015-03-12,1075007.84142366,2015-03
2015-03-13,1084483.96104606,2015-03
2015-03-16,1103186.3239744203,2015-03
2015-03-17,1102653.2311352603,2015-03
2015-03-18,1101827.2066563002,2015-03
2015-03-19,1101706.0066563003,2015-03
2015-03-20,1101857.5066563003,2015-03
2015-03-23,1101978.7066563002,2015-03
2015-03-24,1101315.2745342404,2015-03
2015-03-25,1096509.9787364402,2015-03
2015-03-26,1095217.1601288202,2015-03
2015-03-27,1094196.9553305204,2015-03
2015-03-30,1094186.9553305204,2015-03
2015-03-31,1094206.9553305204,2015-03
2015-04-01,1094466.9553305204,2015-04
2015-04-02,1094716.9553305202,2015-04
2015-04-03,1095076.9553305204,2015-04
2015-04-07,1095166.9553305204,2015-04
2015-04-08,1095376.9553305204,2015-04
2015-04-09,1095486.9553305204,2015-04
2015-04-10,1095476.9553305204,2015-04
2015-04-13,1095076.9553305204,2015-04
2015-04-14,1095346.9553305204,2015-04
2015-04-15,1095656.9553305204,2015-04
2015-04-16,1096116.9553305204,2015-04
2015-04-17,1096976.9553305202,2015-04
2015-04-20,1098146.9553305204,2015-04
2015-04-21,1098315.3411375203,2015-04
2015-04-22,1103351.4726908004,2015-04
2015-04-23,1119506.4726908007,2015-04
2015-04-24,1129886.4726908007,2015-04
2015-04-27,1129203.3090708004,2015-04
2015-04-28,1128592.7097501606,2015-04
2015-04-29,1128685.4097501603,2015-04
2015-04-30,1128778.1097501605,2015-04
2015-05-04,1128479.4097501603,2015-05
2015-05-05,1128500.0097501604,2015-05
2015-05-06,1127886.7195308807,2015-05
2015-05-07,1127743.0435308807,2015-05
2015-05-08,1128020.8199558407,2015-05
2015-05-11,1128340.119955841,2015-05
2015-05-12,1127690.0494198408,2015-05
2015-05-13,1125753.495863041,2015-05
2015-05-14,1139148.495863041,2015-05
2015-05-15,1128089.695863041,2015-05
2015-05-18,1113582.6958630409,2015-05
2015-05-19,1112269.3530400407,2015-05
2015-05-20,1110838.686832041,2015-05
2015-05-21,1111373.986832041,2015-05
2015-05-22,1112020.3868320412,2015-05
2015-05-25,1111979.9868320408,2015-05
2015-05-26,1111959.7868320409,2015-05
2015-05-27,1111969.886832041,2015-05
2015-05-28,1112010.286832041,2015-05
2015-05-29,1111969.886832041,2015-05
2015-06-01,1111979.986832041,2015-06
2015-06-02,1111899.186832041,2015-06
2015-06-03,1112444.586832041,2015-06
2015-06-04,1113484.886832041,2015-06
2015-06-05,1113818.186832041,2015-06
2015-06-08,1113585.886832041,2015-06
2015-06-09,1113535.386832041,2015-06
2015-06-10,1113393.986832041,2015-06
2015-06-11,1113404.086832041,2015-06
2015-06-12,1113272.786832041,2015-06
2015-06-15,1113434.3868320412,2015-06
2015-06-16,1113626.286832041,2015-06
2015-06-17,1113939.386832041,2015-06
2015-06-18,1113969.686832041,2015-06
2015-06-19,1114353.486832041,2015-06
2015-06-23,1114515.086832041,2015-06
2015-06-24,1115020.0868320412,2015-06
2015-06-25,1115009.986832041,2015-06
2015-06-26,1115050.386832041,2015-06
2015-06-29,1114969.5868320412,2015-06
2015-06-30,1114898.886832041,2015-06
2015-07-01,1115121.0868320412,2015-07
2015-07-02,1115181.686832041,2015-07
2015-07-03,1115363.486832041,2015-07
2015-07-06,1116060.386832041,2015-07
2015-07-07,1116888.5868320412,2015-07
2015-07-08,1116161.386832041,2015-07
2015-07-09,1116282.5868320412,2015-07
